nom_fichier;saison;categorie;description;mots_cles
ete_01_bureau_comparaison_offres.png;Été;Bureau;Comparaison d'offres utiles sur ordinateur avec carnet d'organisation.;bureau, offres, bons plans, comparaison, économies
ete_02_courses_comparaison_prix.png;Été;Courses;Comparaison de produits en magasin pour choisir l'option la plus intéressante.;courses, prix, supermarché, choix, économies
ete_03_cafe_cashback_terrasse.png;Été;Café;Consultation d'une offre cashback en terrasse avant un achat.;café, cashback, smartphone, bon plan, été
ete_04_maison_budget_canape.png;Été;Maison;Organisation du budget depuis le canapé avec carnet, reçus et smartphone.;budget, maison, organisation, reçus, économies
ete_05_voyage_reservation_vacances.png;Été;Voyage;Recherche d'un bon plan voyage en gare avec valise et carnet.;voyage, gare, réservation, valise, bon plan
ete_06_travail_ordinateur_cashback.png;Été;Travail;Travail sur ordinateur pour préparer des idées cashback et applications utiles.;ordinateur, cashback, applications, carnet, organisation
ete_07_bureau_offre_bancaire.png;Été;Bureau;Analyse d'une offre bancaire en ligne avec notes et critères de choix.;banque, offre bancaire, frais, prime, comparaison
ete_08_cafe_cashback.png;Été;Café;Vérification d'une application cashback dans un café lumineux.;cashback, café, smartphone, application, économie
ete_09_courses_scan_reduction.png;Été;Courses;Scan d'un produit en magasin pour vérifier une réduction ou un remboursement.;courses, scan, réduction, remboursement, application
ete_10_restaurant_offre_paiement.png;Été;Restaurant;Consultation d'une offre avant paiement sur une terrasse de restaurant.;restaurant, paiement, offre, téléphone, réduction
ete_11_maison_panier_antigaspi.png;Été;Maison;Découverte d'un panier anti-gaspillage à la maison avec suivi sur smartphone.;anti-gaspillage, panier, courses, maison, économie
ete_12_telephone_comparaison_apps.png;Été;Téléphone;Comparaison de deux applications utiles depuis le salon.;applications, téléphone, tablette, comparaison, quotidien
ete_13_maison_budget_repas.png;Été;Maison;Préparation d'un budget repas hebdomadaire avec ingrédients et fiches recettes.;repas, budget alimentaire, cuisine, planning, courses
ete_14_cafe_liste_economies.png;Été;Café;Écriture d'une liste d'idées d'économies après une trouvaille sur smartphone.;café, carnet, économies, idées, bon plan
ete_15_telephone_shopping_prive.png;Été;Téléphone;Comparaison d'une offre shopping privée avant achat.;shopping, vente privée, téléphone, mode, bon plan
ete_16_voyage_comparaison_prix.png;Été;Voyage;Comparaison de prix de voyage depuis un salon d'aéroport avec valise.;voyage, aéroport, comparaison, prix, réservation
ete_17_voyage_gare_transport.png;Été;Voyage;Consultation d'un bon plan transport en gare avec valise et gourde.;voyage, gare, transport, téléphone, économies
ete_18_bureau_comparateur_prix.png;Été;Bureau;Comparaison de prix sur ordinateur avec calculatrice et fiches produits.;comparateur de prix, ordinateur, calculatrice, achat malin, économies
ete_19_courses_box_repas.png;Été;Courses;Ouverture d'une box repas en cuisine avec suivi du budget alimentaire.;courses, box repas, cuisine, budget alimentaire, repas
ete_20_maison_comparaison_soins.png;Été;Maison;Comparaison de produits du quotidien avec smartphone dans une salle de bain lumineuse.;produits du quotidien, comparaison, application, maison, bons plans
ete_21_travail_paiement_securise.png;Été;Travail;Paiement en ligne sécurisé depuis un ordinateur dans un espace calme.;paiement sécurisé, achat en ligne, carte bancaire, confiance, budget
ete_22_restaurant_loisir_reduction.png;Été;Restaurant;Recherche d'une réduction loisirs depuis un lieu de sortie estival.;loisirs, réduction, sortie, téléphone, bon plan
ete_23_maison_suivi_economies.png;Été;Maison;Suivi des économies mensuelles sur tablette depuis un balcon au soleil.;suivi budget, économies, tablette, maison, organisation
ete_24_voyage_preparation_valise.png;Été;Voyage;Préparation d'une valise avec vérification d'une réservation sur smartphone.;voyage, valise, réservation, préparation, bon plan
ete_25_expression_satisfaction_economie.png;Été;Expressions;Expression satisfaite après validation d'un bon plan et note des économies.;satisfaction, économie, carnet, réussite, bon plan
automne_01_bureau_comparaison_offres_the.png;Automne;Bureau;Comparaison d'offres devant un ordinateur avec une tasse de thé.;automne, bureau, comparaison offres, ordinateur, thé
automne_02_cafe_cashback_terrasse.png;Automne;Café;Consultation d'une application cashback en terrasse automnale.;automne, café, cashback, terrasse, application
automne_03_courses_comparaison_prix.png;Automne;Courses;Comparaison de prix en supermarché avec ambiance automnale.;automne, courses, comparaison prix, supermarché, économies
automne_04_maison_budget_mensuel.png;Automne;Maison;Préparation du budget mensuel dans un salon chaleureux avec plaid.;automne, maison, budget mensuel, plaid, organisation
automne_05_voyage_weekend_automne.png;Automne;Voyage;Organisation d'un week-end d'automne sur ordinateur avec carnet de notes.;automne, voyage, week-end, ordinateur, carnet
automne_06_bureau_comparateur_prix.png;Automne;Bureau;Comparateur de prix sur ordinateur avec calculatrice et fiches produits.;comparateur prix, ordinateur, calculatrice, offres, économies
automne_07_bureau_consultation_bancaire.png;Automne;Bureau;Consultation bancaire et comparaison de frais depuis un bureau chaleureux.;banque, frais bancaires, ordinateur, carnet, comparaison
automne_08_telephone_cashback.png;Automne;Téléphone;Consultation d'un cashback validé sur smartphone avec ordinateur et carnet.;cashback, téléphone, ordinateur, économie, automne
automne_09_maison_reception_colis.png;Automne;Maison;Réception d'un colis après un achat en ligne malin.;colis, achat en ligne, bon plan, maison, shopping
automne_10_telephone_code_promo.png;Automne;Téléphone;Recherche d'un code promo depuis un ordinateur et un smartphone.;code promo, téléphone, ordinateur, réduction, shopping
automne_11_restaurant_offre_paiement.png;Automne;Restaurant;Consultation d'une offre avant paiement dans un restaurant automnal.;restaurant, paiement, offre, téléphone, réduction
automne_12_telephone_applications_utiles.png;Automne;Téléphone;Comparaison d'applications utiles sur smartphone et tablette.;applications utiles, téléphone, tablette, comparaison, économies
automne_13_maison_budget_familial.png;Automne;Maison;Organisation d'un budget familial avec tickets, calculatrice et courses.;budget familial, maison, courses, calculatrice, organisation
automne_14_bureau_facture_a_comparer.png;Automne;Bureau;Comparaison d'une facture avec des offres en ligne depuis un bureau.;facture, comparaison, ordinateur, budget, énergie
automne_15_travail_newsletter_bons_plans.png;Automne;Travail;Lecture d'une newsletter de bons plans sur ordinateur.;newsletter, bons plans, ordinateur, sélection, travail
automne_16_maison_article_ecomilie.png;Automne;Maison;Lecture d'un article EcoMilie sur tablette dans un fauteuil chaleureux.;article, tablette, blog, lecture, économies
automne_17_bureau_comparaison_deux_offres.png;Automne;Bureau;Comparaison de deux offres côte à côte avec graphiques abstraits.;comparaison offres, bureau, analyse, décision, économies
automne_18_courses_preparation.png;Automne;Courses;Préparation des courses avec sac réutilisable et produits de saison.;courses, préparation, sac réutilisable, cuisine, automne
automne_19_courses_liste.png;Automne;Courses;Écriture d'une liste de courses avec téléphone et calculatrice.;liste courses, budget, téléphone, calculatrice, courses
automne_20_telephone_achats_en_ligne.png;Automne;Téléphone;Comparaison d'achats en ligne avec ordinateur et smartphone.;achats en ligne, shopping, téléphone, ordinateur, comparaison
automne_21_voyage_reservation_hotel.png;Automne;Voyage;Réservation d'hôtel pour un week-end d'automne avec carte et valise.;hôtel, réservation, voyage, week-end, budget
automne_22_telephone_decouverte_bon_plan.png;Automne;Téléphone;Découverte d'un bon plan du quotidien sur smartphone près d'une fenêtre.;bon plan, téléphone, découverte, quotidien, automne
automne_23_maison_economies_quotidien.png;Automne;Maison;Tri des tickets et suivi des économies du quotidien en cuisine.;économies quotidien, tickets, maison, courses, budget
automne_24_travail_organisation_semaine.png;Automne;Travail;Organisation de la semaine avec planner, ordinateur et notes colorées.;organisation, planning, semaine, travail, bons plans
automne_25_bureau_selection_bons_plans.png;Automne;Bureau;Sélection de bons plans sur un tableau mural avec carnet et téléphone.;sélection bons plans, bureau, carnet, téléphone, organisation
hiver_01_bureau_ordinateur_chocolat_chaud.png;Hiver;Bureau;Travail sur ordinateur avec chocolat chaud dans un bureau hivernal lumineux.;hiver, bureau, ordinateur, chocolat chaud, travail
hiver_02_maison_budget_plaid.png;Hiver;Maison;Préparation du budget mensuel sous un plaid dans un salon chaleureux.;hiver, maison, budget mensuel, plaid, organisation
hiver_03_cafe_cashback_fenetre.png;Hiver;Café;Consultation d'une application cashback près d'une grande fenêtre de café.;hiver, café, cashback, smartphone, boisson chaude
hiver_04_courses_comparaison_produits.png;Hiver;Courses;Comparaison de deux produits dans un supermarché décoré pour l'hiver.;hiver, courses, comparaison produits, supermarché, économies
hiver_05_voyage_vacances_hiver.png;Hiver;Voyage;Organisation des vacances d'hiver sur ordinateur avec carnet et valise ouverte.;hiver, voyage, vacances, ordinateur, valise
hiver_06_bureau_consultation_bancaire.png;Hiver;Bureau;Consultation bancaire sur ordinateur dans un bureau d'hiver chaleureux.;hiver, bureau, banque, consultation bancaire, ordinateur, budget
hiver_07_telephone_cashback.png;Hiver;Téléphone;Consultation de cashback sur smartphone près d'une fenêtre hivernale.;hiver, téléphone, cashback, application, économies
hiver_08_bureau_comparaison_deux_offres.png;Hiver;Bureau;Comparaison de deux offres sur ordinateur et tablette dans un bureau lumineux.;hiver, bureau, comparateur, offres, ordinateur, tablette
hiver_09_telephone_achats_en_ligne.png;Hiver;Téléphone;Achats en ligne depuis le canapé avec ordinateur et colis à proximité.;hiver, téléphone, achats en ligne, shopping, colis
hiver_10_maison_reception_colis.png;Hiver;Maison;Réception et vérification d'un colis dans une entrée chaleureuse.;hiver, maison, colis, réception, achat malin
hiver_11_courses_preparation.png;Hiver;Courses;Préparation des courses avec sacs réutilisables, liste et téléphone.;hiver, courses, préparation, liste, budget alimentaire
hiver_12_courses_liste.png;Hiver;Courses;Écriture d'une liste de courses dans une cuisine douce et lumineuse.;hiver, courses, liste, cuisine, organisation
hiver_13_telephone_code_promo.png;Hiver;Téléphone;Utilisation d'un code promo sur smartphone avec ordinateur à côté.;hiver, téléphone, code promo, shopping, réduction
hiver_14_voyage_reservation_hotel.png;Hiver;Voyage;Réservation d'hôtel pour un séjour d'hiver avec valise ouverte.;hiver, voyage, hôtel, réservation, ordinateur
hiver_15_voyage_reservation_train.png;Hiver;Voyage;Réservation de train sur ordinateur dans une ambiance hivernale.;hiver, voyage, train, réservation, ordinateur
hiver_16_voyage_preparation_weekend.png;Hiver;Voyage;Préparation d'un week-end d'hiver avec valise, carnet et téléphone.;hiver, voyage, week-end, valise, organisation
hiver_17_maison_article_ecomilie.png;Hiver;Maison;Lecture d'un article EcoMilie sur tablette dans un fauteuil cocooning.;hiver, maison, article, lecture, tablette, bons plans
hiver_18_travail_newsletter_bons_plans.png;Hiver;Travail;Préparation d'une newsletter bons plans sur ordinateur avec notes.;hiver, travail, newsletter, bons plans, ordinateur
hiver_19_telephone_decouverte_bon_plan.png;Hiver;Téléphone;Découverte d'un bon plan sur smartphone avec boisson chaude.;hiver, téléphone, bon plan, application, économie
hiver_20_bureau_ordinateur_comparateur.png;Hiver;Bureau;Utilisation d'un comparateur sur ordinateur avec carnet et calculatrice.;hiver, bureau, comparateur, ordinateur, prix
hiver_21_restaurant_offre_paiement.png;Hiver;Restaurant;Consultation d'une offre au restaurant avant le paiement.;hiver, restaurant, offre, paiement, téléphone
hiver_22_maison_preparation_cadeaux.png;Hiver;Maison;Préparation de cadeaux d'hiver avec téléphone et emballages kraft.;hiver, maison, cadeaux, shopping, budget
hiver_23_maison_suivi_budget.png;Hiver;Maison;Suivi du budget mensuel avec calculatrice, carnet et ordinateur.;hiver, maison, budget, calculatrice, économies
hiver_24_maison_economies_quotidien.png;Hiver;Maison;Économies du quotidien avec reçus, téléphone et petits objets utiles.;hiver, maison, économies du quotidien, reçus, organisation
hiver_25_telephone_applications_utiles.png;Hiver;Téléphone;Organisation d'applications utiles sur smartphone à un bureau chaleureux.;hiver, téléphone, applications utiles, organisation, économies
printemps_01_bureau_ordinateur_jardin.png;Printemps;Bureau;Travail sur ordinateur avec fenêtre ouverte sur un jardin printanier.;printemps, bureau, ordinateur, jardin, travail, lumière naturelle
printemps_02_cafe_cashback_terrasse_fleurie.png;Printemps;Café;Consultation d'une application de cashback sur une terrasse fleurie.;printemps, café, cashback, terrasse, téléphone, fleurs
printemps_03_courses_comparaison_produits.png;Printemps;Courses;Comparaison de deux produits dans un magasin lumineux avec touches végétales.;printemps, courses, comparaison, produits, magasin, économies
printemps_04_maison_budget_fleurs.png;Printemps;Maison;Préparation du budget mensuel dans un salon lumineux avec fleurs fraîches.;printemps, maison, budget, fleurs, ordinateur, organisation
printemps_05_voyage_vacances_printemps.png;Printemps;Voyage;Organisation des vacances de printemps avec ordinateur, carnet et valise ouverte.;printemps, voyage, vacances, valise, ordinateur, carnet
printemps_06_bureau_consultation_bancaire.png;Printemps;Bureau;Consultation bancaire en ligne dans un bureau printanier lumineux.;printemps, bureau, banque, consultation bancaire, ordinateur, budget
printemps_07_telephone_cashback.png;Printemps;Téléphone;Consultation de cashback sur smartphone près d'une fenêtre lumineuse.;printemps, téléphone, cashback, application, économies
printemps_08_bureau_comparaison_deux_offres.png;Printemps;Bureau;Comparaison de deux offres sur ordinateur et tablette avec fleurs printanières.;printemps, bureau, comparaison, offres, ordinateur, tablette
printemps_09_telephone_achats_en_ligne.png;Printemps;Téléphone;Achats en ligne depuis le canapé avec ordinateur et colis pastel.;printemps, téléphone, achats en ligne, shopping, colis
printemps_10_maison_reception_colis.png;Printemps;Maison;Réception et vérification d'un colis dans une entrée printanière.;printemps, maison, colis, réception, achat malin
printemps_11_courses_preparation.png;Printemps;Courses;Préparation des courses avec sacs réutilisables et légumes frais.;printemps, courses, préparation, liste, légumes, budget alimentaire
printemps_12_courses_liste.png;Printemps;Courses;Écriture d'une liste de courses dans une cuisine lumineuse.;printemps, courses, liste, cuisine, organisation
printemps_13_telephone_code_promo.png;Printemps;Téléphone;Utilisation d'un code promo sur smartphone dans un bureau fleuri.;printemps, téléphone, code promo, shopping, réduction
printemps_14_voyage_reservation_hotel.png;Printemps;Voyage;Réservation d'hôtel pour un voyage de printemps avec valise à proximité.;printemps, voyage, hôtel, réservation, ordinateur
printemps_15_voyage_reservation_train.png;Printemps;Voyage;Réservation de train sur ordinateur dans une pièce printanière lumineuse.;printemps, voyage, train, réservation, ordinateur
printemps_16_voyage_preparation_vacances.png;Printemps;Voyage;Préparation des vacances de printemps avec valise, carnet et téléphone.;printemps, voyage, vacances, valise, organisation
printemps_17_maison_article_ecomilie.png;Printemps;Maison;Lecture d'un article EcoMilie sur tablette près d'une fenêtre ouverte.;printemps, maison, article, lecture, tablette, bons plans
printemps_18_travail_newsletter_bons_plans.png;Printemps;Travail;Préparation d'une newsletter bons plans dans un bureau fleuri.;printemps, travail, newsletter, bons plans, ordinateur
printemps_19_telephone_decouverte_bon_plan.png;Printemps;Téléphone;Découverte d'un bon plan sur smartphone avec café et bouquet de printemps.;printemps, téléphone, bon plan, application, économie
printemps_20_bureau_ordinateur_comparateur.png;Printemps;Bureau;Utilisation d'un comparateur sur ordinateur dans un bureau lumineux.;printemps, bureau, comparateur, ordinateur, prix
printemps_21_restaurant_offre_paiement.png;Printemps;Restaurant;Consultation d'une offre sur téléphone en terrasse de restaurant printanière.;printemps, restaurant, offre, paiement, téléphone
printemps_22_shopping_bon_plan.png;Printemps;Travail;Shopping malin dans une boutique douce avec téléphone et sac papier.;printemps, shopping, bon plan, téléphone, réduction
printemps_23_maison_suivi_budget.png;Printemps;Maison;Suivi du budget mensuel avec calculatrice, ordinateur et fleurs fraîches.;printemps, maison, budget, calculatrice, économies
printemps_24_maison_economies_quotidien.png;Printemps;Maison;Économies du quotidien avec reçus, pièces, téléphone et fleurs.;printemps, maison, économies du quotidien, reçus, organisation
printemps_25_telephone_applications_utiles.png;Printemps;Téléphone;Organisation d'applications utiles sur smartphone dans un bureau printanier.;printemps, téléphone, applications utiles, organisation, économies
noel_01_budget_cadeaux.png;Événements;Noël;Préparation d’un budget cadeaux de Noël dans un salon chaleureux avec carnet, ordinateur et paquets élégants.;Noël, budget cadeaux, organisation, dépenses, cadeaux, économies
noel_02_comparaison_offres.png;Événements;Noël;Comparaison d’offres de Noël sur ordinateur dans un bureau lumineux et cocooning.;Noël, comparaison offres, ordinateur, bons plans, cadeaux, économies
